image_name,cycleGan_similarity,starGan_similarity1
"['680', 'cfa0c679da3dbe9f01e92cdeda2da1065aa50e7bf0b3990ec335f726.jpg']",0.979979128,0.96712744
"['1042', '83dac9d7eec7fb0bfef79b4d35ddc69a6f7fb458d3bffc4e78f33ad9.jpg']",0.965769054,0.920174954
"['1057', '0745dd0386476ae193ca709034378c9207e48ae88cc8724127e98f1b.jpg']",0.973788436,0.973822136
"['670', '2e9242f004ee675613838478fc4d2854c2e6a4406443e0d9b854f8ec.jpg']",0.968487429,0.903278913
"['278', '6bc300b2ad8cf12d92cb1f033be26adf1381b957ac196ff4ba60d44b.jpg']",0.980561465,0.964859298
"['1045', 'c4f8afc26d293aaebe320d74afe459a6106f19cc89723eaa9a93874d.jpg']",0.970854291,0.972275027
"['462', '8074ac2088332aa569b5b2abb02d963b41b99eb985dd31bdee881586.jpg']",0.984016661,0.970617492
"['1020', '218318ae092e2debd4f7f0c571cad790d391353490fbf7441fccd906.jpg']",0.984705431,0.957321445
"['598', 'ee7d79554e79df1aa460bcfd60c89757d0bafe6bebea035330926aa1.jpg']",0.984437967,0.95216183
"['55', '263169de35771d1aea0898aa5e98793a1a17abcdd574153b9baaefd6.jpg']",0.967185204,0.956001707
"['721', 'ca44f7f1d7c986d9ec92a7140b5cad905203371a711df494ed6f5ff4.jpg']",0.963326663,0.942331054
"['638', 'cf76ba13917395f32d5ed09bf00ab323238ebdb7cd30aaae5ac38625.png']",0.983253469,0.959624889
"['975', 'baf8a864742c4afa0ef45f4ddba6cad45fcd4cb550548f07c984f806.jpg']",0.977685155,0.953661521
"['501', 'd521a3c82a9635d320f35aaf9b102df34f8022dc0c831669bbc3a512.jpg']",0.985156253,0.949573992
"['625', '16279313d32f9ab163f217b00cc17f7c892e71b47131ad57b77f0b0b.jpg']",0.969720064,0.930606318
"['712', '880ff983e43dc4cb89523a7b9be392baffe1440c1ee074bdf4a770ee.png']",0.973463674,0.947484024
"['1053', '3bec18b3abdd7496ffeecd6352455570d2a419f8e27bbc1aba1af468.jpg']",0.983139987,0.961762319
"['624', '5ab3281eef4c9fc58a0055388704fce0c6eab3c8494326d166ee9dec.jpg']",0.990569438,0.96209275
